ID,Count,Latitude,Longitude,Year
3180,784,40.69878,-73.99712,2015
3181,984,40.692609,-74.016398,2015
3182,884,40.686931,-74.016966,2015
3184,0.5,40.7141454,-74.0335519,2015
3186,0.5,40.7192789,-74.0424515,2015
3213,0.5,40.71848892,-74.04772663,2015
3214,0.5,40.7127742,-74.0364857,2015
3219,7.5,40.729193,-73.976655,2015
3221,106,40.743,-73.93561,2015
3222,1448,40.6851596,-73.97711366,2015
3223,1716,40.75899656,-73.96865398,2015
3224,3277,40.73997354,-74.00513873,2015
3226,506.5,40.78275,-73.97137,2015
3229,115.5,40.68061768,-73.94624949,2015
3230,1861.5,40.7512836,-73.99692446,2015
3231,132,40.7678008,-73.96592081,2015
3232,258.5,40.68962189,-73.98304269,2016
3233,2041.5,40.75724568,-73.97805914,2016
3235,1043,40.75216528,-73.97992194,2016
3236,902.5,40.75898481,-73.99379969,2016
3237,83,40.75383343,-73.94267678,2016
3238,378.5,40.7739139,-73.95439535,2016
3241,126.5,40.686203,-73.944694,2016
3242,439.5,40.69102926,-73.99183363,2016
3243,492.5,40.75892386,-73.96226227,2016
3244,1570.5,40.73143724,-73.99490342,2016
